surface_name	site_name	species_name	formation_energy	frequencies	reference
Cu	111	CHO	2.96	[2767.1, 1659.6, 1220.8, 664.3, 396.5, 221.4, 88.4, 73.2, 36.6]	This work
Cu	111	CH2OH	2.38	[3704.7, 3120.3, 3021.3, 1448.6, 1345.2, 1139.1, 1081.5, 986.6, 681.0, 455.9, 425.0, 179.9, 37.5]	This work
Cu	111	CHOH	3.3	[3656.8, 2964.2, 1378.6, 1198.8, 1018.8, 704.1, 400.0, 328.0, 216.2, 208.9, 152.2, 63.3]	This work
Cu	111	COH	3.64	[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]	This work
Pd	111	O	1.21	[413.6, 381.7, 381.6]	This work
Pd	111	OH	0.62	[3718.0, 511.2, 509.3, 339.2, 248.3, 235.5]	This work
Pd	111	C	2.23	[455.9, 468.2, 469.2]	This work
Pd	111	CO	1.04	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work
Pd	111	H	-0.4	[978.2, 768.0, 764.8]	This work
Pd	111	CH3	0.72	[95.8, 103.5, 226.0, 278.8, 545.5, 547.6, 1166.3, 1400.4, 1403.8, 2944.3, 3014.7, 3016.4]	This work
Pd	111	CH2	1.42	[152.0, 257.5, 305.9, 416.3, 434.8, 643.3, 1329.9, 2947.9, 3008.0]	This work
Pd	111	CH	1.43	[379.0, 380.0, 503.1, 599.3, 599.4, 3065.5]	This work
Pd	111	CH3O	1.65	[3033.3, 3028.4, 2960.6, 1472.9, 1470.1, 1446.5, 1147.3, 1146.3, 988.2, 263.0, 259.2, 255.5, 92.0, 86.1, 84.8]	This work
Pd	111	CH2O	1.98	[3047.8, 2962.5, 1443.2, 1151.8, 1108.2, 914.7, 639.8, 468.2, 329.2, 255.8, 162.9, 144.6]	This work
Pd	111	CHO	1.85	[2767.1, 1659.6, 1220.8, 664.3, 396.5, 221.4, 88.4, 73.2, 36.6]	This work
Pd	111	CH2OH	1.48	[3704.7, 3120.3, 3021.3, 1448.6, 1345.2, 1139.1, 1081.5, 986.6, 681.0, 455.9, 425.0, 179.9, 37.5]	This work
Pd	111	CHOH	2.02	[3656.8, 2964.2, 1378.6, 1198.8, 1018.8, 704.1, 400.0, 328.0, 216.2, 208.9, 152.2, 63.3]	This work
Pd	111	COH	1.69	[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]	This work
Pt	111	O	1.51	[413.6, 381.7, 381.6]	This work
Pt	111	OH	0.96	[3718.0, 511.2, 509.3, 339.2, 248.3, 235.5]	This work
Pt	111	C	2.15	[455.9, 468.2, 469.2]	This work
Pt	111	CO	1.34	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work
Pt	111	H	-0.25	[978.2, 768.0, 764.8]	This work
Pt	111	CH3	0.49	[95.8, 103.5, 226.0, 278.8, 545.5, 547.6, 1166.3, 1400.4, 1403.8, 2944.3, 3014.7, 3016.4]	This work
Pt	111	CH2	1.21	[152.0, 257.5, 305.9, 416.3, 434.8, 643.3, 1329.9, 2947.9, 3008.0]	This work
Pt	111	CH	1.15	[379.0, 380.0, 503.1, 599.3, 599.4, 3065.5]	This work
Pt	111	CH3O	2.03	[3033.3, 3028.4, 2960.6, 1472.9, 1470.1, 1446.5, 1147.3, 1146.3, 988.2, 263.0, 259.2, 255.5, 92.0, 86.1, 84.8]	This work
Pt	111	CH2O	2.18	[3047.8, 2962.5, 1443.2, 1151.8, 1108.2, 914.7, 639.8, 468.2, 329.2, 255.8, 162.9, 144.6]	This work
Pt	111	CHO	1.75	[2767.1, 1659.6, 1220.8, 664.3, 396.5, 221.4, 88.4, 73.2, 36.6]	This work
Pt	111	CH2OH	1.27	[3704.7, 3120.3, 3021.3, 1448.6, 1345.2, 1139.1, 1081.5, 986.6, 681.0, 455.9, 425.0, 179.9, 37.5]	This work
Pt	111	CHOH	1.64	[3656.8, 2964.2, 1378.6, 1198.8, 1018.8, 704.1, 400.0, 328.0, 216.2, 208.9, 152.2, 63.3]	This work
Pt	111	COH	1.58	[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]	This work
Rh	111	O	0.6	[413.6, 381.7, 381.6]	This work
Rh	111	OH	0.27	[3718.0, 511.2, 509.3, 339.2, 248.3, 235.5]	This work
Rh	111	C	1.97	[455.9, 468.2, 469.2]	This work
Rh	111	CO	1.14	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work
